,vocab,sound,pos,cefr_level,definition
4725,footage,ˈfʊt.ɪdʒ,noun,none,(a piece of) film especially one showing an event.
4726,forbid,fəˈbɪd,verb,B2,"to refuse to allow something, especially officially, or to prevent a particular plan of action by making it impossible."
4727,forecast,ˈfɔː.kɑːst,noun,B1,"a statement of what is judged likely to happen in the future, especially in connection with a particular situation, or the expected weather conditions."
4728,forecast,ˈfɔː.kɑːst,verb,none,to say what you expect to happen in the future.
4729,foreigner,ˈfɒr.ə.nər,noun,B1,a person who comes from another country.
4730,forge,fɔːdʒ,verb,none,to make an illegal copy of something in order to deceive.
4731,forge,fɔːdʒ,noun,none,a working area with a fire for heating metal until it is soft enough to be beaten into different shapes.
4732,format,ˈfɔː.mæt,noun,C1,"a pattern, plan, or arrangement."
4733,format,ˈfɔː.mæt,verb,none,"to organize or arrange text, especially on a computer, according to a chosen pattern."
4734,formation,fɔːˈmeɪ.ʃən,noun,C2,the way something is naturally made or the way it has been arranged.
4735,formerly,ˈfɔː.mə.li,adverb,B2,in the past.
4736,formula,ˈfɔː.mjə.lə,noun,C1,a standard or accepted way of doing or making something .
4737,formulate,ˈfɔː.mjə.leɪt,verb,C2,to develop all the details of a plan for doing something.
4738,forth,fɔːθ,adverb,none,"(from a place) out or away, or (from a point in time) forward."
4739,forthcoming,ˈfɔːθˌkʌm.ɪŋ,adjective,B2,happening soon.
4740,fortunate,ˈfɔː.tʃən.ət,adjective,B2,lucky.
4741,forum,ˈfɔː.rəm,noun,none,a situation or meeting in which people can talk about a problem or matter especially of public interest.
4742,fossil,ˈfɒs.əl,noun,none,"the shape of a bone, a shell, or a plant or animal that has been preserved in rock for a very long period."
4743,foster,ˈfɒs.tər,verb,none,"to take care of a child, usually for a limited time, without being the child's legal parent."
4744,foster,ˈfɒs.tər,adjective,none,"used to refer to someone or something connected with the care of children, usually for a limited time, by someone who is not the child's legal parent."
4745,foundation,faʊnˈdeɪ.ʃən,noun,C1,"an occasion when an organization, state, etc. is established."
4746,founder,ˈfaʊn.dər,noun,C2,someone who establishes an organization.
4747,founder,ˈfaʊn.dər,verb,none,(especially of a boat) to fill with water and sink.
4748,fraction,ˈfræk.ʃən,noun,C2,a number that results from dividing one whole number by another.
4749,fragile,ˈfrædʒ.aɪl,adjective,C2,A fragile object is easily damaged or broken.
4750,fragment,ˈfræɡ.mənt,noun,none,"a small piece or a part, especially when broken from something whole."
4751,fragment,fræɡˈment,verb,none,to break something into small parts or to be broken up in this way.
4752,framework,ˈfreɪm.wɜːk,noun,none,a supporting structure around which something can be built.
4753,franchise,ˈfræn.tʃaɪz,noun,none,a right to sell a company's products in a particular area using the company's name.
4754,franchise,ˈfræn.tʃaɪz,verb,none,to give or sell a franchise to someone.
4755,frankly,ˈfræŋ.kli,adverb,none,in an honest and direct way.
4756,fraud,frɔːd,noun,C2,the crime of getting money by deceiving people.
4757,freely,ˈfriː.li,adverb,B2,without being controlled or limited.
4758,frequent,ˈfriː.kwənt,adjective,B1,happening often.
4759,frequent,frɪˈkwent,verb,none,to be in or visit a particular place often.
4760,frustrated,frʌsˈtreɪ.tɪd,adjective,C1,feeling annoyed or less confident because you cannot achieve what you want.
4761,frustrating,frʌsˈtreɪ.tɪŋ,adjective,C1,making you feel annoyed or less confident because you cannot achieve what you want.
4762,frustration,frʌsˈtreɪ.ʃən,noun,B2,"the feeling of being annoyed or less confident because you cannot achieve what you want, or something that makes you feel like this."
4763,fulfil,fʊlˈfɪl,verb,C1,"to do something that is expected, hoped for, or promised, or to cause it to happen."
4764,full-time,ˌfʊl ˈtaɪm,noun,none,the end of a sports match.
4765,functional,ˈfʌŋk.ʃən.əl,adjective,B2,designed to be practical and useful rather than attractive.
4766,fundamentally,ˌfʌn.dəˈmen.təl.i,adverb,C2,in a basic and important way.
4767,fundraising,ˈfʌndˌreɪ.zɪŋ,noun,none,"the act of collecting or producing money for a particular purpose, especially for a charity."
4768,funeral,ˈfjuː.nər.əl,noun,B2,a (usually religious) ceremony for burying or burning the body of a dead person.
4769,furious,ˈfjʊə.ri.əs,adjective,B2,extremely angry.
4770,gallon,ˈɡæl.ən,noun,none,a unit for measuring volume.
4771,gambling,ˈɡæm.blɪŋ,noun,B2,"the activity of betting money, for example in a game or on a horse race."
4772,gaming,ˈɡeɪ.mɪŋ,noun,none,"the risking of money in games of chance, especially at a casino."
4773,gathering,ˈɡæð.ər.ɪŋ,noun,C1,a party or a meeting when many people come together as a group.
4774,gay,ɡeɪ,adjective,B1,sexually or romantically attracted to people of the same gender and not to people of a different gender.
4775,gay,ɡeɪ,noun,none,"a gay person, especially a man."
4776,gaze,ɡeɪz,verb,B2,"to look at something or someone for a long time, especially in surprise or admiration, or because you are thinking about something else."
4777,gaze,ɡeɪz,noun,C2,"a long look, usually of a particular kind."
4778,gear,ɡɪər,noun,B2,"a device, often consisting of connecting sets of wheels with teeth (= points) around the edge, that controls how much power from an engine goes to the moving parts of a machine."
4779,gender,ˈdʒen.dər,noun,B2,"a group of people in a society who share particular qualities or ways of behaving which that society associates with being male, female, or another identity."
4780,gender,ˈdʒen.dər,verb,none,"to give someone or something a particular gender, or to think of something as belonging to a particular gender."
4781,gene,dʒiːn,noun,C1,"a part of the DNA in a cell that controls the physical development, behaviour, etc. of an individual plant or animal and is passed on from its parents."
4782,generic,dʒəˈner.ɪk,adjective,none,"shared by, typical of, or relating to a whole group of similar things, rather than to any particular thing."
4783,generic,dʒəˈner.ɪk,noun,none,"a product, especially a drug, that is no longer owned or legally controlled by a particular company."
4784,genetic,dʒəˈnet.ɪk,adjective,C1,belonging or relating to genes (= parts of the DNA in cells) received by each animal or plant from its parents.
4785,genius,ˈdʒiː.ni.əs,noun,C1,"very great and rare natural ability or skill, especially in a particular area such as science or art, or a person who has this."
4786,genocide,ˈdʒen.ə.saɪd,noun,none,"the crime of intentionally destroying part or all of a national, ethnic, racial, or religious group, by killing people or by other methods."
4787,genuine,ˈdʒen.ju.ɪn,adjective,B2,"If something is genuine, it is real and exactly what it appears to be."
4788,genuinely,ˈdʒen.ju.ɪn.li,adverb,B2,really and sincerely.
4789,gesture,ˈdʒes.tʃər,noun,C1,"a movement of the hands, arms, or head, etc. to express an idea or feeling."
4790,gesture,ˈdʒes.tʃər,verb,C2,to use a gesture to express or emphasize something.
4791,gig,ɡɪɡ,noun,none,"a single performance by a musician or group of musicians, especially playing modern or pop music, or by a comedian (= a performer who makes people laugh, for example by telling jokes or funny stories)."
4792,gig,ɡɪɡ,verb,none,(of a musician or group of musicians) to perform gigs.
4793,glance,ɡlɑːns,verb,B1,to give a quick short look.
4794,glance,ɡlɑːns,noun,B2,a quick short look.
4795,glimpse,ɡlɪmps,verb,none,to see something or someone for a very short time or only partly.
4796,glimpse,ɡlɪmps,noun,C1,an occasion when you see something or someone for a very short time.
4797,globalization,ˌɡləʊ.bəl.aɪˈzeɪ.ʃən,noun,C1,"the increase of trade around the world, especially by large companies producing and trading goods in many different countries."
4798,globe,ɡləʊb,noun,none,the world.
4799,glorious,ˈɡlɔː.ri.əs,adjective,none,"deserving great admiration, praise, and honour."
4800,glory,ˈɡlɔː.ri,noun,none,"praise and thanks, especially as given to God."
4801,glory,ˈɡlɔː.ri ,exclamation,none,an expression of praise and thanks to God.
4802,golden,ˈɡəʊl.dən,adjective,A2,made of gold.
4803,goodness,ˈɡʊd.nəs,noun,none,"the part of something, especially of food, that is good for health."
4804,goodness,ˈɡʊd.nəs,exclamation,none,"used to express any strong emotion, especially surprise."
4805,gorgeous,ˈɡɔː.dʒəs,adjective,B1,very beautiful or pleasant.
4806,governance,ˈɡʌv.ən.əns,noun,none,"the way that organizations or countries are managed at the highest level, and the systems for doing this."
4807,governor,ˈɡʌv.ən.ər,noun,none,a person in charge of a particular political unit.
4808,grace,ɡreɪs,noun,C1,"a quality of moving in a smooth, relaxed, and attractive way."
4809,grace,ɡreɪs,verb,C2,"to be in a place, on a thing etc. and make it look more attractive."
4810,graphic,ˈɡræf.ɪk,adjective,none,very clear and powerful.
4811,graphics,ˈɡræf.ɪks,noun,B1,"images and designs used in books, magazines, etc.."
4812,grasp,ɡrɑːsp,verb,C1,to quickly take something in your hand(s) and hold it firmly.
4813,grasp,ɡrɑːsp,noun,C2,the act of holding onto someone or something.
4814,grave,ɡreɪv,noun,B1,a place in the ground where a dead person is buried.
4815,grave,ɡreɪv,adjective,none,seriously bad.
4816,gravity,ˈɡræv.ə.ti,noun,none,"the force that attracts objects towards one another, especially the force that makes things fall to the ground."
4817,greatly,ˈɡreɪt.li,adverb,B2,"very much, used especially to show how much you feel or experience something."
4818,greenhouse,ˈɡriːn.haʊs,noun,none,"a building with a roof and sides made of glass, used for growing plants that need warmth and protection."
4819,grid,ɡrɪd,noun,none,a pattern or structure made from horizontal and vertical lines crossing each other to form squares.
4820,grief,ɡriːf,noun,none,"very great sadness, especially at the death of someone."
4821,grin,ɡrɪn,noun,C2,a wide smile.
4822,grin,ɡrɪn,verb,C2,to smile a wide smile.
4823,grind,ɡraɪnd,verb,none,to make something into small pieces or a powder by pressing between hard surfaces.
4824,grind,ɡraɪnd,noun,none,"the size of grains in a substance that has been ground, especially coffee."
4825,grip,ɡrɪp,verb,B2,to hold very tightly.
4826,grip,ɡrɪp,noun,none,control over something or someone.
4827,grocery,ˈɡrəʊ.sər.i,noun,none,a grocer's.
4828,guerrilla,ɡəˈrɪl.ə,noun,none,"a member of an unofficial military group that is trying to change the government by making sudden, unexpected attacks on the official army forces."
4829,guerrilla,ɡəˈrɪl.ə,adjective,none,"using unusual methods to create or get attention for your ideas, art, products, etc., usually ones that cost little money and involve using public spaces."
4830,guidance,ˈɡaɪ.dəns,noun,B2,"help and advice about how to do something or about how to deal with problems connected with your work, education, or personal relationships."
4831,guideline,ˈɡaɪd.laɪn,noun,C1,information intended to advise people on how something should be done or what something should be.
4832,guilt,ɡɪlt,noun,B2,"a feeling of worry or unhappiness that you have because you have done something wrong, such as causing harm to another person."
4833,gut,ɡʌt,noun,none,"the long tube in the body of a person or animal, through which food moves during the process of digesting food."
4834,gut,ɡʌt,verb,none,"to destroy the inside of a building completely, usually by fire."
4835,habitat,ˈhæb.ɪ.tæt,noun,C1,the natural environment in which an animal or plant usually lives.
4836,hail,heɪl,noun,C2,"small, hard balls of ice that fall from the sky like rain."
4837,hail,heɪl,verb,C2,to call someone in order to attract their attention.
4838,halfway,ˌhɑːfˈweɪ,adjective,none,"in the middle of something, or at a place that is equally far from two other places."
4839,halfway,ˌhɑːfˈweɪ,adverb,none,"not very, but enough to be satisfactory."
4840,halt,hɒlt,verb,none,to (cause to) stop moving or doing something or happening.
4841,halt,hɒlt,noun,none,an occasion when something stops moving or happening.
4842,handful,ˈhænd.fʊl,noun,none,an amount of something that can be held in one hand.
4843,handling,ˈhænd.lɪŋ,noun,none,the way that someone deals with a situation or person.
4844,handy,ˈhæn.di,adjective,C2,useful or convenient.
4845,harassment,ˈhær.əs.mənt,noun,C1,behaviour that annoys or upsets someone.
4846,harbour,ˈhɑː.bər,noun,B1,"an area of water next to the coast, often protected from the sea by a thick wall, where ships and boats can shelter."
